brand,category,Size,Sleeve,Bust,Letter Size,Numeric Size,Waist,Hips,Length,Inseam,Height
Gap Size Charts,Tops - Numeric Sizes,0,30¾,31½,,,,,,,
Gap Size Charts,Tops - Numeric Sizes,1,31,32½,,,,,,,
Gap Size Charts,Tops - Numeric Sizes,2,31¼,33½,,,,,,,
Gap Size Charts,Tops - Numeric Sizes,4,31½,34½,,,,,,,
Gap Size Charts,Tops - Numeric Sizes,6,32,35½,,,,,,,
Gap Size Charts,Tops - Numeric Sizes,8,32½,36½,,,,,,,
Gap Size Charts,Tops - Numeric Sizes,10,33,37½,,,,,,,
Gap Size Charts,Tops - Numeric Sizes,12,33¼,39,,,,,,,
Gap Size Charts,Tops - Numeric Sizes,14,33½,40½,,,,,,,
Gap Size Charts,Tops - Numeric Sizes,16,33¾,42,,,,,,,
Gap Size Charts,Tops - Numeric Sizes,18,34,44,,,,,,,
Gap Size Charts,Tops - Numeric Sizes,20,34½,46,,,,,,,
Gap Size Charts,Tops - Numeric Sizes,22,35,47½,,,,,,,
Gap Size Charts,Tops - Alpha Sizes,XXS,30¾,31½,,,,,,,
Gap Size Charts,Tops - Alpha Sizes,XS,31 - 31¼,32½ - 33½,,,,,,,
Gap Size Charts,Tops - Alpha Sizes,S,31½ - 32,34½ - 35½,,,,,,,
Gap Size Charts,Tops - Alpha Sizes,M,32½ - 33,36½ - 37½,,,,,,,
Gap Size Charts,Tops - Alpha Sizes,L,33¼ - 33½,39 - 40½,,,,,,,
Gap Size Charts,Tops - Alpha Sizes,XL,33¾ - 34,42 - 44,,,,,,,
Gap Size Charts,Tops - Alpha Sizes,XXL,34½ - 35,46 - 47½,,,,,,,
Gap Size Charts,Tall Tops - Numeric Sizes,,32¾,31½,XXS,0,,,,,
Gap Size Charts,Tall Tops - Numeric Sizes,,33,32½,XS,1,,,,,
Gap Size Charts,Tall Tops - Numeric Sizes,,33¼,33½,XS,2,,,,,
Gap Size Charts,Tall Tops - Numeric Sizes,,33½,34½,S,4,,,,,
Gap Size Charts,Tall Tops - Numeric Sizes,,34,35½,S,6,,,,,
Gap Size Charts,Tall Tops - Numeric Sizes,,34½,36½,M,8,,,,,
Gap Size Charts,Tall Tops - Numeric Sizes,,35,37½,M,10,,,,,
Gap Size Charts,Tall Tops - Numeric Sizes,,35¼,39,L,12,,,,,
Gap Size Charts,Tall Tops - Numeric Sizes,,35½,40½,L,14,,,,,
Gap Size Charts,Tall Tops - Numeric Sizes,,35¾,42,XL,16,,,,,
Gap Size Charts,Tall Tops - Numeric Sizes,,36,44,XL,18,,,,,
Gap Size Charts,Tall Tops - Numeric Sizes,,36½,46,XXL,20,,,,,
Gap Size Charts,Tall Tops - Numeric Sizes,,37,47½,XXL,22,,,,,
Gap Size Charts,Tall Tops - Alpha Sizes,XXS,32¾,31½,,,,,,,
Gap Size Charts,Tall Tops - Alpha Sizes,XS,33 - 33¼,32½ - 33½,,,,,,,
Gap Size Charts,Tall Tops - Alpha Sizes,S,33½ - 34,34½ - 35½,,,,,,,
Gap Size Charts,Tall Tops - Alpha Sizes,M,34½ - 35,36½ - 37½,,,,,,,
Gap Size Charts,Tall Tops - Alpha Sizes,L,35¼ - 35½,39 - 40½,,,,,,,
Gap Size Charts,Tall Tops - Alpha Sizes,XL,35¾ - 36,42 - 44,,,,,,,
Gap Size Charts,Tall Tops - Alpha Sizes,XXL,36½ - 37,46 - 47½,,,,,,,
Gap Size Charts,Petite Tops - Numeric Sizes,0,29½,31½,,,,,,,
Gap Size Charts,Petite Tops - Numeric Sizes,1,29½,32½,,,,,,,
Gap Size Charts,Petite Tops - Numeric Sizes,2,29¾,33½,,,,,,,
Gap Size Charts,Petite Tops - Numeric Sizes,4,30,34½,,,,,,,
Gap Size Charts,Petite Tops - Numeric Sizes,6,30½,35½,,,,,,,
Gap Size Charts,Petite Tops - Numeric Sizes,8,31,36½,,,,,,,
Gap Size Charts,Petite Tops - Numeric Sizes,10,31½,37½,,,,,,,
Gap Size Charts,Petite Tops - Numeric Sizes,12,31¾,39,,,,,,,
Gap Size Charts,Petite Tops - Numeric Sizes,14,32,40½,,,,,,,
Gap Size Charts,Petite Tops - Numeric Sizes,16,32¼,42,,,,,,,
Gap Size Charts,Petite Tops - Numeric Sizes,18,32½,44,,,,,,,
Gap Size Charts,Petite Tops - Numeric Sizes,20,33,46,,,,,,,
Gap Size Charts,Petite Tops - Numeric Sizes,22,33½,47½,,,,,,,
Gap Size Charts,Petite Tops - Alpha Sizes,XXS,29½,31½,,,,,,,
Gap Size Charts,Petite Tops - Alpha Sizes,XS,29½ - 29¾,32½ - 33½,,,,,,,
Gap Size Charts,Petite Tops - Alpha Sizes,S,30 - 30½,34½ - 35½,,,,,,,
Gap Size Charts,Petite Tops - Alpha Sizes,M,31 - 31½,36½ - 37½,,,,,,,
Gap Size Charts,Petite Tops - Alpha Sizes,L,31¾ - 32,39 - 40½,,,,,,,
Gap Size Charts,Petite Tops - Alpha Sizes,XL,32¼ - 32½,42 - 44,,,,,,,
Gap Size Charts,Petite Tops - Alpha Sizes,XXL,33 - 33½,46 - 47½,,,,,,,
Gap Size Charts,Tall Pants and Skirts - Alpha Sizes,XXS,,,,,23½ - 24½,34½ - 35½,,,
Gap Size Charts,Tall Pants and Skirts - Alpha Sizes,XS,,,,,25½,36½,,,
Gap Size Charts,Tall Pants and Skirts - Alpha Sizes,S,,,,,26½ - 27½,37½ - 38½,,,
Gap Size Charts,Tall Pants and Skirts - Alpha Sizes,M,,,,,28½ - 29½,39½ - 40½,,,
Gap Size Charts,Tall Pants and Skirts - Alpha Sizes,L,,,,,30¾ - 32,41¾ - 43,,,
Gap Size Charts,Tall Pants and Skirts - Alpha Sizes,XL,,,,,33¾ - 35¾,44¾ - 46¾,,,
Gap Size Charts,Tall Pants and Skirts - Alpha Sizes,XXL,,,,,37¾,48¾,,,
Gap Size Charts,Jeans,,,,,,,,Ankle,29½,
Gap Size Charts,Jeans,,,,,,,,Regular,32,
Gap Size Charts,Jeans,,,,,,,,Long,34,
Gap Size Charts,Jeans,,,,,,,,Tall,36,
Gap Size Charts,Petite Jeans,00,,,,,23½,34½,,,
Gap Size Charts,Petite Jeans,0,,,,,24½,35½,,,
Gap Size Charts,Petite Jeans,2,,,,,25½,36½,,,
Gap Size Charts,Petite Jeans,4,,,,,26½,37½,,,
Gap Size Charts,Petite Jeans,6,,,,,27½,38½,,,
Gap Size Charts,Petite Jeans,8,,,,,28½,39½,,,
Gap Size Charts,Petite Jeans,10,,,,,29½,40½,,,
Gap Size Charts,Petite Jeans,12,,,,,30¾,41¾,,,
Gap Size Charts,Petite Jeans,14,,,,,32,43,,,
Gap Size Charts,Petite Jeans,16,,,,,33¾,44¾,,,
Gap Size Charts,Petite Jeans,18,,,,,35¾,46¾,,,
Gap Size Charts,Petite Jeans,20,,,,,37¾,48¾,,,
Gap Size Charts,Tall Jeans,,,,,,,,Petite,25½ - 30,
Gap Size Charts,Tall Jeans,,,,,,,,Ankle,27½ - 30½,
Gap Size Charts,Tall Jeans,,,,,,,,Regular,28 - 33,
Gap Size Charts,Tall Jeans,,,,,,,,Tall,31½ - 37,
Gap Size Charts,Tall Jeans,,,,,,,,Long,32 - 35,
Gap Size Charts,Pants and Skirts - Alpha Sizes,00,,,,,23,34,,,
Gap Size Charts,Pants and Skirts - Alpha Sizes,0,,,,,24,35,,,
Gap Size Charts,Pants and Skirts - Alpha Sizes,2,,,,,25,36,,,
Gap Size Charts,Pants and Skirts - Alpha Sizes,4,,,,,26,37,,,
Gap Size Charts,Pants and Skirts - Alpha Sizes,6,,,,,27,38,,,
Gap Size Charts,Pants and Skirts - Alpha Sizes,8,,,,,28,39,,,
Gap Size Charts,Pants and Skirts - Alpha Sizes,10,,,,,29,40,,,
Gap Size Charts,Pants and Skirts - Alpha Sizes,12,,,,,30¼,41¼,,,
Gap Size Charts,Pants and Skirts - Alpha Sizes,14,,,,,31½,42½,,,
Gap Size Charts,Pants and Skirts - Alpha Sizes,16,,,,,33¼,44¼,,,
Gap Size Charts,Pants and Skirts - Alpha Sizes,18,,,,,35¼,46¼,,,
Gap Size Charts,Pants and Skirts - Alpha Sizes,20,,,,,37¼,48¼,,,
Gap Size Charts,Pants and Skirts - Numeric Sizes,,,,,,,,Petite,25½ - 30,
Gap Size Charts,Pants and Skirts - Numeric Sizes,,,,,,,,Ankle,27½ - 30½,
Gap Size Charts,Pants and Skirts - Numeric Sizes,,,,,,,,Regular,28 - 33,
Gap Size Charts,Pants and Skirts - Numeric Sizes,,,,,,,,Tall,31½ - 37,
Gap Size Charts,Pants and Skirts - Numeric Sizes,,,,,,,,Long,32 - 35,
Gap Size Charts,Petite Pants and Skirts - Alpha Sizes,00,,,,,23½,34½,,,
Gap Size Charts,Petite Pants and Skirts - Alpha Sizes,0,,,,,24½,35½,,,
Gap Size Charts,Petite Pants and Skirts - Alpha Sizes,2,,,,,25½,36½,,,
Gap Size Charts,Petite Pants and Skirts - Alpha Sizes,4,,,,,26½,37½,,,
Gap Size Charts,Petite Pants and Skirts - Alpha Sizes,6,,,,,27½,38½,,,
Gap Size Charts,Petite Pants and Skirts - Alpha Sizes,8,,,,,28½,39½,,,
Gap Size Charts,Petite Pants and Skirts - Alpha Sizes,10,,,,,29½,40½,,,
Gap Size Charts,Petite Pants and Skirts - Alpha Sizes,12,,,,,30¾,41¾,,,
Gap Size Charts,Petite Pants and Skirts - Alpha Sizes,14,,,,,32,43,,,
Gap Size Charts,Petite Pants and Skirts - Alpha Sizes,16,,,,,33¾,44¾,,,
Gap Size Charts,Petite Pants and Skirts - Alpha Sizes,18,,,,,35¾,46¾,,,
Gap Size Charts,Petite Pants and Skirts - Alpha Sizes,20,,,,,37¾,48¾,,,
Gap Size Charts,Petite Pants and Skirts - Numeric Sizes,,,,,,,,Ankle,27½ - 30½,
Gap Size Charts,Petite Pants and Skirts - Numeric Sizes,,,,,,,,Regular,28 - 33,
Gap Size Charts,Petite Pants and Skirts - Numeric Sizes,,,,,,,,Tall,31½ - 37,
Gap Size Charts,Petite Pants and Skirts - Numeric Sizes,,,,,,,,Long,32 - 35,
Gap Size Charts,Long & Lean and Curvy Jeans,XXS,,,,,23½ - 24½,34½ - 35½,,,
Gap Size Charts,Long & Lean and Curvy Jeans,XS,,,,,25½,36½,,,
Gap Size Charts,Long & Lean and Curvy Jeans,S,,,,,26½ - 27½,36½ - 37½,,,
Gap Size Charts,Long & Lean and Curvy Jeans,M,,,,,28½ - 29½,39½ - 40½,,,
Gap Size Charts,Long & Lean and Curvy Jeans,L,,,,,30¾ - 32,41¾ - 43,,,
Gap Size Charts,Long & Lean and Curvy Jeans,XL,,,,,33¾ - 35¾,44¾ - 46¾,,,
Gap Size Charts,Long & Lean and Curvy Jeans,XXL,,,,,37¾,48¾,,,
Gap Size Charts,Petite Long & Lean and Curvy Jeans,,,,,,,,Petite,29,
Gap Size Charts,Petite Long & Lean and Curvy Jeans,,,,,,,,Ankle,29½,
Gap Size Charts,Petite Long & Lean and Curvy Jeans,,,,,,,,Regular,32,
Gap Size Charts,Petite Long & Lean and Curvy Jeans,,,,,,,,Long,34,
Gap Size Charts,Petite Long & Lean and Curvy Jeans,,,,,,,,Tall,36,
Gap Size Charts,Tall Long & Lean and Curvy Jeans,00,,,,,23½,34½,,,
Gap Size Charts,Tall Long & Lean and Curvy Jeans,0,,,,,24½,35½,,,
Gap Size Charts,Tall Long & Lean and Curvy Jeans,2,,,,,25½,36½,,,
Gap Size Charts,Tall Long & Lean and Curvy Jeans,4,,,,,26½,37½,,,
Gap Size Charts,Tall Long & Lean and Curvy Jeans,6,,,,,27½,38½,,,
Gap Size Charts,Tall Long & Lean and Curvy Jeans,8,,,,,28½,39½,,,
Gap Size Charts,Tall Long & Lean and Curvy Jeans,10,,,,,29½,40½,,,
Gap Size Charts,Tall Long & Lean and Curvy Jeans,12,,,,,30¾,41¾,,,
Gap Size Charts,Tall Long & Lean and Curvy Jeans,14,,,,,32,43,,,
Gap Size Charts,Tall Long & Lean and Curvy Jeans,16,,,,,33¾,44¾,,,
Gap Size Charts,Tall Long & Lean and Curvy Jeans,18,,,,,35¾,46¾,,,
Gap Size Charts,Tall Long & Lean and Curvy Jeans,20,,,,,37¾,48¾,,,
Gap Size Charts,Tall Pants and Skirts - Numeric Sizes,,,,,,,,Petite,29,
Gap Size Charts,Tall Pants and Skirts - Numeric Sizes,,,,,,,,Ankle,29½,
Gap Size Charts,Tall Pants and Skirts - Numeric Sizes,,,,,,,,Regular,32,
Gap Size Charts,Tall Pants and Skirts - Numeric Sizes,,,,,,,,Long,34,
Gap Size Charts,Tall Pants and Skirts - Numeric Sizes,,,,,,,,Tall,36,
Gap Size Charts,Dresses - Alpha Sizes,XXS,,,,,23½ - 24½,34½ - 35½,,,
Gap Size Charts,Dresses - Alpha Sizes,XS,,,,,25½,36½,,,
Gap Size Charts,Dresses - Alpha Sizes,S,,,,,26½ - 27½,37½ - 38½,,,
Gap Size Charts,Dresses - Alpha Sizes,M,,,,,28½ - 29½,39½ - 40½,,,
Gap Size Charts,Dresses - Alpha Sizes,L,,,,,30¾ - 32,41¾ - 43,,,
Gap Size Charts,Dresses - Alpha Sizes,XL,,,,,33¾ - 35¾,44¾ - 46¾,,,
Gap Size Charts,Dresses - Alpha Sizes,XXL,,,,,37¾,48¾,,,
Gap Size Charts,Dresses - Numeric Sizes,,,,,,,,Petite,29,
Gap Size Charts,Dresses - Numeric Sizes,,,,,,,,Ankle,29½,
Gap Size Charts,Dresses - Numeric Sizes,,,,,,,,Regular,32,
Gap Size Charts,Dresses - Numeric Sizes,,,,,,,,Long,34,
Gap Size Charts,Dresses - Numeric Sizes,,,,,,,,Tall,36,
Gap Size Charts,Tall Dresses - Alpha Sizes,00,,,,,23½,34½,,,
Gap Size Charts,Tall Dresses - Alpha Sizes,0,,,,,24½,35½,,,
Gap Size Charts,Tall Dresses - Alpha Sizes,2,,,,,25½,36½,,,
Gap Size Charts,Tall Dresses - Alpha Sizes,4,,,,,26½,37½,,,
Gap Size Charts,Tall Dresses - Alpha Sizes,6,,,,,27½,38½,,,
Gap Size Charts,Tall Dresses - Alpha Sizes,8,,,,,28½,39½,,,
Gap Size Charts,Tall Dresses - Alpha Sizes,10,,,,,29½,40½,,,
Gap Size Charts,Tall Dresses - Alpha Sizes,12,,,,,30¾,41¾,,,
Gap Size Charts,Tall Dresses - Alpha Sizes,14,,,,,32,43,,,
Gap Size Charts,Tall Dresses - Alpha Sizes,16,,,,,33¾,44¾,,,
Gap Size Charts,Tall Dresses - Alpha Sizes,18,,,,,35¾,46¾,,,
Gap Size Charts,Tall Dresses - Alpha Sizes,20,,,,,37¾,48¾,,,
Gap Size Charts,Petite Dresses - Numeric Sizes,,,,,,,,Petite,29,
Gap Size Charts,Petite Dresses - Numeric Sizes,,,,,,,,Ankle,29½,
Gap Size Charts,Petite Dresses - Numeric Sizes,,,,,,,,Regular,32,
Gap Size Charts,Petite Dresses - Numeric Sizes,,,,,,,,Long,34,
Gap Size Charts,Petite Dresses - Numeric Sizes,,,,,,,,Tall,36,
Gap Size Charts,Tall Dresses - Numeric Sizes,00,,,,,23,35¼,,,
Gap Size Charts,Tall Dresses - Numeric Sizes,0,,,,,24,36¼,,,
Gap Size Charts,Tall Dresses - Numeric Sizes,2,,,,,25,37¼,,,
Gap Size Charts,Tall Dresses - Numeric Sizes,4,,,,,26,38¼,,,
Gap Size Charts,Tall Dresses - Numeric Sizes,6,,,,,27,39¼,,,
Gap Size Charts,Tall Dresses - Numeric Sizes,8,,,,,28,40¼,,,
Gap Size Charts,Tall Dresses - Numeric Sizes,10,,,,,29,41¼,,,
Gap Size Charts,Tall Dresses - Numeric Sizes,12,,,,,30¼,42¼,,,
Gap Size Charts,Tall Dresses - Numeric Sizes,14,,,,,31½,43¾,,,
Gap Size Charts,Tall Dresses - Numeric Sizes,16,,,,,33¼,45½,,,
Gap Size Charts,Tall Dresses - Numeric Sizes,18,,,,,35¼,47½,,,
Gap Size Charts,Tall Dresses - Numeric Sizes,20,,,,,37¼,49½,,,
Gap Size Charts,Outerwear and Jackets,,,,,,,,Petite,27 - 30,
Gap Size Charts,Outerwear and Jackets,,,,,,,,Ankle,27½ - 30½,
Gap Size Charts,Outerwear and Jackets,,,,,,,,Regular,28 - 33,
Gap Size Charts,Outerwear and Jackets,,,,,,,,Tall,31½ - 37,
Gap Size Charts,Outerwear and Jackets,,,,,,,,Long,32 - 35,
Gap Size Charts,Petite Outerwear and Jackets,00,,,,,22½,34¾,,,
Gap Size Charts,Petite Outerwear and Jackets,0,,,,,23½,35¾,,,
Gap Size Charts,Petite Outerwear and Jackets,2,,,,,24½,36¾,,,
Gap Size Charts,Petite Outerwear and Jackets,4,,,,,25½,37¾,,,
Gap Size Charts,Petite Outerwear and Jackets,6,,,,,26½,38¾,,,
Gap Size Charts,Petite Outerwear and Jackets,8,,,,,27½,39¾,,,
Gap Size Charts,Petite Outerwear and Jackets,10,,,,,28½,40¾,,,
Gap Size Charts,Petite Outerwear and Jackets,12,,,,,29¾,42,,,
Gap Size Charts,Petite Outerwear and Jackets,14,,,,,31,43¼,,,
Gap Size Charts,Petite Outerwear and Jackets,16,,,,,32¾,45,,,
Gap Size Charts,Petite Outerwear and Jackets,18,,,,,34¾,47,,,
Gap Size Charts,Petite Outerwear and Jackets,20,,,,,36¾,49,,,
Gap Size Charts,Tall Outerwear and Jackets,,,,,,,,Petite,25½ - 30,
Gap Size Charts,Tall Outerwear and Jackets,,,,,,,,Ankle,27½ - 30½,
Gap Size Charts,Tall Outerwear and Jackets,,,,,,,,Regular,28 - 33,
Gap Size Charts,Tall Outerwear and Jackets,,,,,,,,Tall,31½ - 37,
Gap Size Charts,Tall Outerwear and Jackets,,,,,,,,Long,32 - 35,
Gap Size Charts,Category 27,00,,,,,23,35¼,,,
Gap Size Charts,Category 27,0,,,,,24,36¼,,,
Gap Size Charts,Category 27,2,,,,,25,37¼,,,
Gap Size Charts,Category 27,4,,,,,26,38¼,,,
Gap Size Charts,Category 27,6,,,,,27,39¼,,,
Gap Size Charts,Category 27,8,,,,,28,40¼,,,
Gap Size Charts,Category 27,10,,,,,29,41¼,,,
Gap Size Charts,Category 27,12,,,,,30¼,42½,,,
Gap Size Charts,Category 27,14,,,,,31¼,43¾,,,
Gap Size Charts,Category 27,16,,,,,33¼,45½,,,
Gap Size Charts,Category 27,18,,,,,35¼,47½,,,
Gap Size Charts,Category 27,20,,,,,37¼,49½,,,
Gap Size Charts,Category 28,,,,,,,,Petite,25½ - 30,
Gap Size Charts,Category 28,,,,,,,,Ankle,27½ - 30½,
Gap Size Charts,Category 28,,,,,,,,Regular,28 - 33,
Gap Size Charts,Category 28,,,,,,,,Tall,31½ - 37,
Gap Size Charts,Category 28,,,,,,,,Long,32 - 35,
Gap Size Charts,Category 29,00,,,,,23½,34½,,,
Gap Size Charts,Category 29,0,,,,,24½,35½,,,
Gap Size Charts,Category 29,2,,,,,25½,36½,,,
Gap Size Charts,Category 29,4,,,,,26½,37½,,,
Gap Size Charts,Category 29,6,,,,,27½,38½,,,
Gap Size Charts,Category 29,8,,,,,28½,39½,,,
Gap Size Charts,Category 29,10,,,,,29½,40½,,,
Gap Size Charts,Category 29,12,,,,,30¾,41¾,,,
Gap Size Charts,Category 29,14,,,,,32,43,,,
Gap Size Charts,Category 29,16,,,,,33¾,44¾,,,
Gap Size Charts,Category 29,18,,,,,35¾,46¾,,,
Gap Size Charts,Category 29,20,,,,,37¾,48¾,,,
Gap Size Charts,Category 30,,,,,,,,Ankle,29½,
Gap Size Charts,Category 30,,,,,,,,Regular,32,
Gap Size Charts,Category 30,,,,,,,,Long,34,
Gap Size Charts,Category 30,,,,,,,,Tall,36,
Gap Size Charts,Category 31,XXS,,32½,,,24½,,,,
Gap Size Charts,Category 31,XS,,33 - 33½,,,25 - 25½,,,,
Gap Size Charts,Category 31,S,,34½ - 35½,,,26½ - 27½,,,,
Gap Size Charts,Category 31,M,,36½ - 37½,,,28½ - 29½,,,,
Gap Size Charts,Category 31,L,,39 - 40½,,,31 - 32½,,,,
Gap Size Charts,Category 31,XL,,42¼ - 44,,,34¼ - 36,,,,
Gap Size Charts,Category 31,XXL,,45¾ - 47½,,,37¾ - 39½,,,,
Gap Size Charts,Category 32,0,,32½,,,24½,,,,
Gap Size Charts,Category 32,1,,33,,,25,,,,
Gap Size Charts,Category 32,2,,33½,,,25½,,,,
Gap Size Charts,Category 32,4,,34½,,,26½,,,,
Gap Size Charts,Category 32,6,,35½,,,27½,,,,
Gap Size Charts,Category 32,8,,36½,,,28½,,,,
Gap Size Charts,Category 32,10,,37½,,,29½,,,,
Gap Size Charts,Category 32,12,,39,,,31,,,,
Gap Size Charts,Category 32,14,,40½,,,32½,,,,
Gap Size Charts,Category 32,16,,42¼,,,34¼,,,,
Gap Size Charts,Category 32,18,,44,,,36,,,,
Gap Size Charts,Category 32,20,,45¾,,,37¾,,,,
Gap Size Charts,Category 32,22,,47½,,,39½,,,,
Gap Size Charts,Category 33,XXS,,32½,,,24½,,,,
Gap Size Charts,Category 33,XS,,33 - 33½,,,25 - 25½,,,,
Gap Size Charts,Category 33,S,,34½ - 35½,,,26½ - 27½,,,,
Gap Size Charts,Category 33,M,,36½ - 37½,,,28½ - 29½,,,,
Gap Size Charts,Category 33,L,,39 - 40½,,,31 - 32½,,,,
Gap Size Charts,Category 33,XL,,42¼ - 44,,,34¼ - 36,,,,
Gap Size Charts,Category 33,XXL,,45¾ - 47½,,,37¾ - 39½,,,,
Gap Size Charts,Category 34,0,,32½,,,24½,,,,
Gap Size Charts,Category 34,1,,33,,,25,,,,
Gap Size Charts,Category 34,2,,33½,,,25½,,,,
Gap Size Charts,Category 34,4,,34½,,,26½,,,,
Gap Size Charts,Category 34,6,,35½,,,27½,,,,
Gap Size Charts,Category 34,8,,36½,,,28½,,,,
Gap Size Charts,Category 34,10,,37½,,,29½,,,,
Gap Size Charts,Category 34,12,,39,,,31,,,,
Gap Size Charts,Category 34,14,,40½,,,32½,,,,
Gap Size Charts,Category 34,16,,42¼,,,34¼,,,,
Gap Size Charts,Category 34,18,,44,,,36,,,,
Gap Size Charts,Category 34,20,,45¾,,,37¾,,,,
Gap Size Charts,Category 34,22,,47½,,,39½,,,,
Gap Size Charts,Category 35,0,,32½,,,24½,,,,
Gap Size Charts,Category 35,1,,33,,,25,,,,
Gap Size Charts,Category 35,2,,33½,,,25½,,,,
Gap Size Charts,Category 35,4,,34½,,,26½,,,,
Gap Size Charts,Category 35,6,,35½,,,27½,,,,
Gap Size Charts,Category 35,8,,36½,,,28½,,,,
Gap Size Charts,Category 35,10,,37½,,,29½,,,,
Gap Size Charts,Category 35,12,,39,,,31,,,,
Gap Size Charts,Category 35,14,,40½,,,32½,,,,
Gap Size Charts,Category 35,16,,42¼,,,34¼,,,,
Gap Size Charts,Category 35,18,,44,,,36,,,,
Gap Size Charts,Category 35,20,,45¾,,,37¾,,,,
Gap Size Charts,Category 35,22,,47½,,,39½,,,,
Gap Size Charts,Category 36,XXS,30¾,31½,,,,,,,
Gap Size Charts,Category 36,XS,31,32½,,,,,,,
Gap Size Charts,Category 36,XS,31¼,33½,,,,,,,
Gap Size Charts,Category 36,S,31½,34½,,,,,,,
Gap Size Charts,Category 36,S,32,35½,,,,,,,
Gap Size Charts,Category 36,M,32½,36½,,,,,,,
Gap Size Charts,Category 36,M,33,37½,,,,,,,
Gap Size Charts,Category 36,L,33¼,39,,,,,,,
Gap Size Charts,Category 36,L,33½,40½,,,,,,,
Gap Size Charts,Category 36,XL,33¾,42,,,,,,,
Gap Size Charts,Category 36,XL,34,44,,,,,,,
Gap Size Charts,Category 36,XXL,34½,46,,,,,,,
Gap Size Charts,Category 36,XXL,35,47½,,,,,,,
Gap Size Charts,Category 37,XXS,29½,31½,,,,,,,
Gap Size Charts,Category 37,XS,29½,32½,,,,,,,
Gap Size Charts,Category 37,XS,29¾,33½,,,,,,,
Gap Size Charts,Category 37,S,30,34½,,,,,,,
Gap Size Charts,Category 37,S,30½,35½,,,,,,,
Gap Size Charts,Category 37,M,31,36½,,,,,,,
Gap Size Charts,Category 37,M,31½,37½,,,,,,,
Gap Size Charts,Category 37,L,31¾,39,,,,,,,
Gap Size Charts,Category 37,L,32,40½,,,,,,,
Gap Size Charts,Category 37,XL,32¼,42,,,,,,,
Gap Size Charts,Category 37,XL,32½,44,,,,,,,
Gap Size Charts,Category 37,XXL,33,46,,,,,,,
Gap Size Charts,Category 37,XXL,33½,47½,,,,,,,
Gap Size Charts,Category 38,XXS,32¾,31½,,,,,,,
Gap Size Charts,Category 38,XS,33,32½,,,,,,,
Gap Size Charts,Category 38,XS,33¼,33½,,,,,,,
Gap Size Charts,Category 38,S,33½,34½,,,,,,,
Gap Size Charts,Category 38,S,34,35½,,,,,,,
Gap Size Charts,Category 38,M,34½,36½,,,,,,,
Gap Size Charts,Category 38,M,35,37½,,,,,,,
Gap Size Charts,Category 38,L,35¼,39,,,,,,,
Gap Size Charts,Category 38,L,35½,40½,,,,,,,
Gap Size Charts,Category 38,XL,35¾,42,,,,,,,
Gap Size Charts,Category 38,XL,36,44,,,,,,,
Gap Size Charts,Category 38,XXL,36½,46,,,,,,,
Gap Size Charts,Category 38,XXL,37,47½,,,,,,,
Roamans Size Charts,Plus Tops - Alpha Sizes,S,,37 - 38,,,30 - 31½,39 - 40,,,
Roamans Size Charts,Plus Tops - Alpha Sizes,M,,38½ - 42,,,32 - 35½,40½ - 44,,,
Roamans Size Charts,Plus Tops - Alpha Sizes,L,,42½ - 46,,,36 - 39½,44½ - 48,,,
Roamans Size Charts,Plus Tops - Alpha Sizes,1X,,46½ - 50,,,40 - 43½,48½ - 52,,,
Roamans Size Charts,Plus Tops - Alpha Sizes,2X,,50½ - 54,,,44 - 47½,52½ - 56,,,
Roamans Size Charts,Plus Tops - Alpha Sizes,3X,,54½ - 58,,,48 - 51½,56½ - 60,,,
Roamans Size Charts,Plus Tops - Alpha Sizes,4X,,58½ - 62,,,52 - 55½,60½ - 64,,,
Roamans Size Charts,Plus Tops - Alpha Sizes,5X,,62½ - 66,,,56 - 59½,64½ - 68,,,
Roamans Size Charts,Plus Tops - Alpha Sizes,6X,,66½ - 70,,,60 - 63½,68½ - 72,,,
Roamans Size Charts,Plus Tops - Alpha Sizes,7X,,70½ - 74,,,64 - 67½,72½ - 76,,,
Roamans Size Charts,Plus Tops - Numeric Sizes,12,,37 - 38,,,30 - 31½,39 - 40,,,
Roamans Size Charts,Plus Tops - Numeric Sizes,14,,38½ - 40,,,32 - 33½,40½ - 42,,,
Roamans Size Charts,Plus Tops - Numeric Sizes,16,,40½ - 42,,,34 - 35½,42½ - 44,,,
Roamans Size Charts,Plus Tops - Numeric Sizes,18,,42½ - 44,,,36 - 37½,44½ - 46,,,
Roamans Size Charts,Plus Tops - Numeric Sizes,20,,44½ - 46,,,38 - 39½,46½ - 48,,,
Roamans Size Charts,Plus Tops - Numeric Sizes,22,,46½ - 48,,,40 - 41½,48½ - 50,,,
Roamans Size Charts,Plus Tops - Numeric Sizes,24,,48½ - 50,,,42 - 43½,50½ - 52,,,
Roamans Size Charts,Plus Tops - Numeric Sizes,26,,50½ - 52,,,44 - 45½,52½ - 54,,,
Roamans Size Charts,Plus Tops - Numeric Sizes,28,,52½ - 54,,,46 - 47½,54½ - 56,,,
Roamans Size Charts,Plus Tops - Numeric Sizes,30,,54½ - 56,,,48 - 49½,56½ - 58,,,
Roamans Size Charts,Plus Tops - Numeric Sizes,32,,56½ - 58,,,50 - 51½,58½ - 60,,,
Roamans Size Charts,Plus Tops - Numeric Sizes,34,,58½ - 60,,,52 - 53½,60½ - 62,,,
