Brands,Hip(min),Hip(max)
Aeropostale,32.5,44.5
American Eagle Outfitters,32,43.5
Anthropologie,35,44.5
Banana Republic,35,44.5
Guess ,36.25,45.5
H & M,34.63,45.5
Old Navy ,34.6,51.6
Ralph Lauren,36,45.5
Urban Outfitters ,34,44
Victoria's Secret ,33.5,42.5
Zara,34,44.5
ASOS ,33,44.5
Forever 21,33.5,44
Pacsun,35.5,45
Amazon ,34.5,44
Hollister,35.5,47
Ambercrombie & Fitch,34.5,47
Gap,35.75,46.25
AYR,35,42
AMO,37,44.5
Citizens of Humanity,35,43
Agolde,35,43
Levi's,35.5,45.5
